REFERENCE_PERIOD,NAICS,STATUS,CALCULATED_VALUE
2003-02-01,Leather and allied product manufacturing,,73000000.0
2003-02-01,Paper manufacturing,,3224000000.0
2003-02-01,Printing and related support activities,,1068000000.0
2003-02-01,Petroleum and coal products manufacturing,,5752000000.0
2003-02-01,Chemical manufacturing,,4980000000.0
2003-02-01,Plastics and rubber products manufacturing,,2803000000.0
2003-02-01,Durable goods,,29639000000.0
2003-02-01,Wood product manufacturing,,2960000000.0
2003-02-01,Non-metallic mineral product manufacturing,,1197000000.0
2003-02-01,Primary metal manufacturing,,4840000000.0
2003-02-01,Fabricated metal product manufacturing,,3419000000.0
2003-02-01,Machinery manufacturing,,2563000000.0
2003-02-01,Computer and electronic product manufacturing,,1513000000.0
2003-02-01,"Electrical equipment, appliance and component manufacturing",,988000000.0
2003-02-01,Transportation equipment manufacturing,,9870000000.0
2003-02-01,Motor vehicle manufacturing,,4943000000.0
2003-02-01,Motor vehicle body and trailer manufacturing,,325000000.0
2003-02-01,Motor vehicle parts manufacturing,,2717000000.0
2003-02-01,Aerospace product and parts manufacturing,,1256000000.0
2003-02-01,Railroad rolling stock manufacturing,,350000000.0
2003-02-01,Ship and boat building,,156000000.0
2003-02-01,Other transportation equipment manufacturing,,124000000.0
2003-02-01,Furniture and related product manufacturing,,1311000000.0
2003-02-01,Miscellaneous manufacturing,,979000000.0
2003-03-01,"Total, durable and non-durable goods",,57278000000.0
2003-03-01,Non-durable goods,,27331000000.0
2003-03-01,Food manufacturing,,6941000000.0
2003-03-01,Beverage and tobacco product manufacturing,,1476000000.0
2003-03-01,Textile mills,,344000000.0
2003-03-01,Textile product mills,,273000000.0
2003-03-01,Apparel manufacturing,,659000000.0
2003-03-01,Leather and allied product manufacturing,,67000000.0
2003-03-01,Paper manufacturing,,3183000000.0
2003-03-01,Printing and related support activities,,1076000000.0
2003-03-01,Petroleum and coal products manufacturing,,5729000000.0
2003-03-01,Chemical manufacturing,,4806000000.0
2003-03-01,Plastics and rubber products manufacturing,,2778000000.0
2003-03-01,Durable goods,,29946000000.0
2003-03-01,Wood product manufacturing,,2904000000.0
2003-03-01,Non-metallic mineral product manufacturing,,1234000000.0
2003-03-01,Primary metal manufacturing,,4872000000.0
2003-03-01,Fabricated metal product manufacturing,,3454000000.0
2003-03-01,Machinery manufacturing,,2629000000.0
2003-03-01,Computer and electronic product manufacturing,,1486000000.0
2003-03-01,"Electrical equipment, appliance and component manufacturing",,994000000.0
2003-03-01,Transportation equipment manufacturing,,10087000000.0
2003-03-01,Motor vehicle manufacturing,,5146000000.0
2003-03-01,Motor vehicle body and trailer manufacturing,,348000000.0
2003-03-01,Motor vehicle parts manufacturing,,2678000000.0
2003-03-01,Aerospace product and parts manufacturing,,1199000000.0
