REFERENCE_PERIOD,NAICS,STATUS,CALCULATED_VALUE
2019-09-01,Machinery manufacturing,,3429000000.0
2019-09-01,Computer and electronic product manufacturing,,1385000000.0
2019-09-01,"Electrical equipment, appliance and component manufacturing",,804000000.0
2019-09-01,Transportation equipment manufacturing,,11075000000.0
2019-09-01,Motor vehicle manufacturing,,5444000000.0
2019-09-01,Motor vehicle body and trailer manufacturing,,247000000.0
2019-09-01,Motor vehicle parts manufacturing,,2594000000.0
2019-09-01,Aerospace product and parts manufacturing,,1927000000.0
2019-09-01,Railroad rolling stock manufacturing,,249000000.0
2019-09-01,Ship and boat building,,288000000.0
2019-09-01,Other transportation equipment manufacturing,,326000000.0
2019-09-01,Furniture and related product manufacturing,,986000000.0
2019-09-01,Miscellaneous manufacturing,,992000000.0
2019-10-01,"Total, durable and non-durable goods",,55963000000.0
2019-10-01,Non-durable goods,,26737000000.0
2019-10-01,Food manufacturing,,8886000000.0
2019-10-01,Beverage and tobacco product manufacturing,,1208000000.0
2019-10-01,Textile mills,,151000000.0
2019-10-01,Textile product mills,,122000000.0
2019-10-01,Apparel manufacturing,,219000000.0
2019-10-01,Leather and allied product manufacturing,,23000000.0
2019-10-01,Paper manufacturing,,2206000000.0
2019-10-01,Printing and related support activities,,755000000.0
2019-10-01,Petroleum and coal products manufacturing,,5832000000.0
2019-10-01,Chemical manufacturing,,4694000000.0
2019-10-01,Plastics and rubber products manufacturing,,2641000000.0
2019-10-01,Durable goods,,29226000000.0
2019-10-01,Wood product manufacturing,,2640000000.0
2019-10-01,Non-metallic mineral product manufacturing,,1286000000.0
2019-10-01,Primary metal manufacturing,,4123000000.0
2019-10-01,Fabricated metal product manufacturing,,3113000000.0
2019-10-01,Machinery manufacturing,,3208000000.0
2019-10-01,Computer and electronic product manufacturing,,1316000000.0
2019-10-01,"Electrical equipment, appliance and component manufacturing",,861000000.0
2019-10-01,Transportation equipment manufacturing,,10705000000.0
2019-10-01,Motor vehicle manufacturing,,5186000000.0
2019-10-01,Motor vehicle body and trailer manufacturing,,262000000.0
2019-10-01,Motor vehicle parts manufacturing,,2507000000.0
2019-10-01,Aerospace product and parts manufacturing,,1908000000.0
2019-10-01,Railroad rolling stock manufacturing,,286000000.0
2019-10-01,Ship and boat building,,275000000.0
2019-10-01,Other transportation equipment manufacturing,,281000000.0
2019-10-01,Furniture and related product manufacturing,,1000000000.0
2019-10-01,Miscellaneous manufacturing,,974000000.0
2019-11-01,"Total, durable and non-durable goods",,55564000000.0
2019-11-01,Non-durable goods,,26473000000.0
2019-11-01,Food manufacturing,,8789000000.0
2019-11-01,Beverage and tobacco product manufacturing,,1190000000.0
2019-11-01,Textile mills,,143000000.0
2019-11-01,Textile product mills,,118000000.0
2019-11-01,Apparel manufacturing,,210000000.0
2019-11-01,Leather and allied product manufacturing,,22000000.0
2019-11-01,Paper manufacturing,,2232000000.0
2019-11-01,Printing and related support activities,,787000000.0
2019-11-01,Petroleum and coal products manufacturing,,5664000000.0
2019-11-01,Chemical manufacturing,,4625000000.0
2019-11-01,Plastics and rubber products manufacturing,,2693000000.0
2019-11-01,Durable goods,,29091000000.0
2019-11-01,Wood product manufacturing,,2572000000.0
2019-11-01,Non-metallic mineral product manufacturing,,1230000000.0
2019-11-01,Primary metal manufacturing,,3664000000.0
2019-11-01,Fabricated metal product manufacturing,,3322000000.0
2019-11-01,Machinery manufacturing,,3053000000.0
2019-11-01,Computer and electronic product manufacturing,,1332000000.0
2019-11-01,"Electrical equipment, appliance and component manufacturing",,847000000.0
2019-11-01,Transportation equipment manufacturing,,11087000000.0
2019-11-01,Motor vehicle manufacturing,,5193000000.0
2019-11-01,Motor vehicle body and trailer manufacturing,,226000000.0
2019-11-01,Motor vehicle parts manufacturing,,2767000000.0
2019-11-01,Aerospace product and parts manufacturing,,2069000000.0
2019-11-01,Railroad rolling stock manufacturing,,279000000.0
2019-11-01,Ship and boat building,,252000000.0
2019-11-01,Other transportation equipment manufacturing,,303000000.0
2019-11-01,Furniture and related product manufacturing,,983000000.0
2019-11-01,Miscellaneous manufacturing,,1000000000.0
2019-12-01,"Total, durable and non-durable goods",,55431000000.0
2019-12-01,Non-durable goods,,26471000000.0
2019-12-01,Food manufacturing,,8838000000.0
2019-12-01,Beverage and tobacco product manufacturing,,1193000000.0
2019-12-01,Textile mills,,147000000.0
2019-12-01,Textile product mills,,113000000.0
2019-12-01,Apparel manufacturing,,233000000.0
2019-12-01,Leather and allied product manufacturing,,21000000.0
2019-12-01,Paper manufacturing,,2278000000.0
2019-12-01,Printing and related support activities,,724000000.0
2019-12-01,Petroleum and coal products manufacturing,,5669000000.0
2019-12-01,Chemical manufacturing,,4817000000.0
2019-12-01,Plastics and rubber products manufacturing,,2437000000.0
2019-12-01,Durable goods,,28961000000.0
2019-12-01,Wood product manufacturing,,2664000000.0
2019-12-01,Non-metallic mineral product manufacturing,,1224000000.0
2019-12-01,Primary metal manufacturing,,4021000000.0
2019-12-01,Fabricated metal product manufacturing,,3185000000.0
2019-12-01,Machinery manufacturing,,3052000000.0
2019-12-01,Computer and electronic product manufacturing,,1308000000.0
2019-12-01,"Electrical equipment, appliance and component manufacturing",,917000000.0
2019-12-01,Transportation equipment manufacturing,,10640000000.0
2019-12-01,Motor vehicle manufacturing,,4724000000.0
2019-12-01,Motor vehicle body and trailer manufacturing,,249000000.0
2019-12-01,Motor vehicle parts manufacturing,,2610000000.0
2019-12-01,Aerospace product and parts manufacturing,,2197000000.0
2019-12-01,Railroad rolling stock manufacturing,,273000000.0
2019-12-01,Ship and boat building,,320000000.0
2019-12-01,Other transportation equipment manufacturing,,268000000.0
2019-12-01,Furniture and related product manufacturing,,985000000.0
2019-12-01,Miscellaneous manufacturing,,964000000.0
2020-01-01,"Total, durable and non-durable goods",,54907000000.0
2020-01-01,Non-durable goods,,26686000000.0
2020-01-01,Food manufacturing,,8885000000.0
2020-01-01,Beverage and tobacco product manufacturing,,1195000000.0
2020-01-01,Textile mills,,142000000.0
2020-01-01,Textile product mills,,110000000.0
2020-01-01,Apparel manufacturing,,247000000.0
2020-01-01,Leather and allied product manufacturing,,28000000.0
2020-01-01,Paper manufacturing,,2324000000.0
2020-01-01,Printing and related support activities,,738000000.0
2020-01-01,Petroleum and coal products manufacturing,,5645000000.0
2020-01-01,Chemical manufacturing,,4819000000.0
2020-01-01,Plastics and rubber products manufacturing,,2554000000.0
2020-01-01,Durable goods,,28220000000.0
2020-01-01,Wood product manufacturing,,2618000000.0
2020-01-01,Non-metallic mineral product manufacturing,,1373000000.0
2020-01-01,Primary metal manufacturing,,3863000000.0
2020-01-01,Fabricated metal product manufacturing,,3207000000.0
2020-01-01,Machinery manufacturing,,3112000000.0
2020-01-01,Computer and electronic product manufacturing,,1238000000.0
2020-01-01,"Electrical equipment, appliance and component manufacturing",,792000000.0
2020-01-01,Transportation equipment manufacturing,,10054000000.0
2020-01-01,Motor vehicle manufacturing,,4291000000.0
2020-01-01,Motor vehicle body and trailer manufacturing,,254000000.0
2020-01-01,Motor vehicle parts manufacturing,,2671000000.0
2020-01-01,Aerospace product and parts manufacturing,,2069000000.0
2020-01-01,Railroad rolling stock manufacturing,,280000000.0
2020-01-01,Ship and boat building,,231000000.0
2020-01-01,Other transportation equipment manufacturing,,257000000.0
2020-01-01,Furniture and related product manufacturing,,1023000000.0
2020-01-01,Miscellaneous manufacturing,,940000000.0
2020-02-01,"Total, durable and non-durable goods",,55742000000.0
2020-02-01,Non-durable goods,,26804000000.0
2020-02-01,Food manufacturing,,8849000000.0
2020-02-01,Beverage and tobacco product manufacturing,,1198000000.0
2020-02-01,Textile mills,,149000000.0
2020-02-01,Textile product mills,,116000000.0
2020-02-01,Apparel manufacturing,,228000000.0
2020-02-01,Leather and allied product manufacturing,,22000000.0
2020-02-01,Paper manufacturing,,2319000000.0
2020-02-01,Printing and related support activities,,746000000.0
2020-02-01,Petroleum and coal products manufacturing,,5656000000.0
2020-02-01,Chemical manufacturing,,4820000000.0
2020-02-01,Plastics and rubber products manufacturing,,2700000000.0
2020-02-01,Durable goods,,28938000000.0
2020-02-01,Wood product manufacturing,,2549000000.0
2020-02-01,Non-metallic mineral product manufacturing,,1303000000.0
2020-02-01,Primary metal manufacturing,,3893000000.0
2020-02-01,Fabricated metal product manufacturing,,3343000000.0
2020-02-01,Machinery manufacturing,,3021000000.0
2020-02-01,Computer and electronic product manufacturing,,1243000000.0
2020-02-01,"Electrical equipment, appliance and component manufacturing",,793000000.0
2020-02-01,Transportation equipment manufacturing,,10880000000.0
2020-02-01,Motor vehicle manufacturing,,4905000000.0
2020-02-01,Motor vehicle body and trailer manufacturing,,243000000.0
2020-02-01,Motor vehicle parts manufacturing,,2777000000.0
2020-02-01,Aerospace product and parts manufacturing,,2155000000.0
2020-02-01,Railroad rolling stock manufacturing,,258000000.0
2020-02-01,Ship and boat building,,325000000.0
2020-02-01,Other transportation equipment manufacturing,,215000000.0
2020-02-01,Furniture and related product manufacturing,,979000000.0
2020-02-01,Miscellaneous manufacturing,,935000000.0
2020-03-01,"Total, durable and non-durable goods",,49575000000.0
2020-03-01,Non-durable goods,,25634000000.0
2020-03-01,Food manufacturing,,9258000000.0
2020-03-01,Beverage and tobacco product manufacturing,,1223000000.0
2020-03-01,Textile mills,,132000000.0
2020-03-01,Textile product mills,,111000000.0
2020-03-01,Apparel manufacturing,,153000000.0
2020-03-01,Leather and allied product manufacturing,,19000000.0
2020-03-01,Paper manufacturing,,2406000000.0
2020-03-01,Printing and related support activities,,597000000.0
2020-03-01,Petroleum and coal products manufacturing,,4757000000.0
2020-03-01,Chemical manufacturing,,4656000000.0
2020-03-01,Plastics and rubber products manufacturing,,2323000000.0
2020-03-01,Durable goods,,23941000000.0
2020-03-01,Wood product manufacturing,,2374000000.0
2020-03-01,Non-metallic mineral product manufacturing,,1127000000.0
2020-03-01,Primary metal manufacturing,,3491000000.0
2020-03-01,Fabricated metal product manufacturing,,2877000000.0
2020-03-01,Machinery manufacturing,,2847000000.0
2020-03-01,Computer and electronic product manufacturing,,1213000000.0
2020-03-01,"Electrical equipment, appliance and component manufacturing",,741000000.0
2020-03-01,Transportation equipment manufacturing,,7530000000.0
2020-03-01,Motor vehicle manufacturing,,3081000000.0
2020-03-01,Motor vehicle body and trailer manufacturing,,200000000.0
2020-03-01,Motor vehicle parts manufacturing,,1717000000.0
2020-03-01,Aerospace product and parts manufacturing,,1918000000.0
2020-03-01,Railroad rolling stock manufacturing,,213000000.0
2020-03-01,Ship and boat building,,204000000.0
2020-03-01,Other transportation equipment manufacturing,,197000000.0
2020-03-01,Furniture and related product manufacturing,,824000000.0
2020-03-01,Miscellaneous manufacturing,,917000000.0
2020-04-01,"Total, durable and non-durable goods",,36918000000.0
2020-04-01,Non-durable goods,,21615000000.0
2020-04-01,Food manufacturing,,8018000000.0
2020-04-01,Beverage and tobacco product manufacturing,,1059000000.0
2020-04-01,Textile mills,,100000000.0
2020-04-01,Textile product mills,,92000000.0
2020-04-01,Apparel manufacturing,,93000000.0
2020-04-01,Leather and allied product manufacturing,,7000000.0
2020-04-01,Paper manufacturing,,2203000000.0
2020-04-01,Printing and related support activities,,476000000.0
2020-04-01,Petroleum and coal products manufacturing,,3411000000.0
2020-04-01,Chemical manufacturing,,4495000000.0
2020-04-01,Plastics and rubber products manufacturing,,1660000000.0
2020-04-01,Durable goods,,15303000000.0
2020-04-01,Wood product manufacturing,,2042000000.0
2020-04-01,Non-metallic mineral product manufacturing,,890000000.0
2020-04-01,Primary metal manufacturing,,2967000000.0
2020-04-01,Fabricated metal product manufacturing,,2095000000.0
2020-04-01,Machinery manufacturing,,2450000000.0
2020-04-01,Computer and electronic product manufacturing,,1046000000.0
2020-04-01,"Electrical equipment, appliance and component manufacturing",,625000000.0
2020-04-01,Transportation equipment manufacturing,,2032000000.0
2020-04-01,Motor vehicle manufacturing,,55000000.0
2020-04-01,Motor vehicle body and trailer manufacturing,,170000000.0
2020-04-01,Motor vehicle parts manufacturing,,221000000.0
2020-04-01,Aerospace product and parts manufacturing,,1007000000.0
2020-04-01,Railroad rolling stock manufacturing,,132000000.0
2020-04-01,Ship and boat building,,212000000.0
2020-04-01,Other transportation equipment manufacturing,,234000000.0
2020-04-01,Furniture and related product manufacturing,,553000000.0
2020-04-01,Miscellaneous manufacturing,,603000000.0
2020-05-01,"Total, durable and non-durable goods",,41333000000.0
2020-05-01,Non-durable goods,,22935000000.0
2020-05-01,Food manufacturing,,8154000000.0
2020-05-01,Beverage and tobacco product manufacturing,,1184000000.0
2020-05-01,Textile mills,,115000000.0
2020-05-01,Textile product mills,,113000000.0
2020-05-01,Apparel manufacturing,,171000000.0
2020-05-01,Leather and allied product manufacturing,,17000000.0
2020-05-01,Paper manufacturing,,2115000000.0
2020-05-01,Printing and related support activities,,536000000.0
2020-05-01,Petroleum and coal products manufacturing,,4096000000.0
2020-05-01,Chemical manufacturing,,4387000000.0
2020-05-01,Plastics and rubber products manufacturing,,2048000000.0
2020-05-01,Durable goods,,18398000000.0
2020-05-01,Wood product manufacturing,,2324000000.0
2020-05-01,Non-metallic mineral product manufacturing,,1073000000.0
2020-05-01,Primary metal manufacturing,,3184000000.0
2020-05-01,Fabricated metal product manufacturing,,2426000000.0
2020-05-01,Machinery manufacturing,,2343000000.0
2020-05-01,Computer and electronic product manufacturing,,1070000000.0
2020-05-01,"Electrical equipment, appliance and component manufacturing",,790000000.0
2020-05-01,Transportation equipment manufacturing,,3630000000.0
2020-05-01,Motor vehicle manufacturing,,1085000000.0
2020-05-01,Motor vehicle body and trailer manufacturing,,182000000.0
2020-05-01,Motor vehicle parts manufacturing,,786000000.0
2020-05-01,Aerospace product and parts manufacturing,,995000000.0
2020-05-01,Railroad rolling stock manufacturing,,174000000.0
2020-05-01,Ship and boat building,,191000000.0
2020-05-01,Other transportation equipment manufacturing,,218000000.0
2020-05-01,Furniture and related product manufacturing,,764000000.0
2020-05-01,Miscellaneous manufacturing,,794000000.0
2020-06-01,"Total, durable and non-durable goods",,49755000000.0
2020-06-01,Non-durable goods,,24507000000.0
2020-06-01,Food manufacturing,,8651000000.0
2020-06-01,Beverage and tobacco product manufacturing,,1244000000.0
2020-06-01,Textile mills,,129000000.0
2020-06-01,Textile product mills,,122000000.0
2020-06-01,Apparel manufacturing,,166000000.0
2020-06-01,Leather and allied product manufacturing,,17000000.0
2020-06-01,Paper manufacturing,,2168000000.0
2020-06-01,Printing and related support activities,,569000000.0
2020-06-01,Petroleum and coal products manufacturing,,4263000000.0
2020-06-01,Chemical manufacturing,,4605000000.0
2020-06-01,Plastics and rubber products manufacturing,,2572000000.0
2020-06-01,Durable goods,,25248000000.0
2020-06-01,Wood product manufacturing,,2599000000.0
2020-06-01,Non-metallic mineral product manufacturing,,1219000000.0
2020-06-01,Primary metal manufacturing,,3405000000.0
2020-06-01,Fabricated metal product manufacturing,,2701000000.0
2020-06-01,Machinery manufacturing,,2615000000.0
2020-06-01,Computer and electronic product manufacturing,,1199000000.0
2020-06-01,"Electrical equipment, appliance and component manufacturing",,808000000.0
2020-06-01,Transportation equipment manufacturing,,8864000000.0
2020-06-01,Motor vehicle manufacturing,,4291000000.0
2020-06-01,Motor vehicle body and trailer manufacturing,,208000000.0
2020-06-01,Motor vehicle parts manufacturing,,2408000000.0
2020-06-01,Aerospace product and parts manufacturing,,1311000000.0
2020-06-01,Railroad rolling stock manufacturing,,188000000.0
2020-06-01,Ship and boat building,,239000000.0
2020-06-01,Other transportation equipment manufacturing,,221000000.0
2020-06-01,Furniture and related product manufacturing,,870000000.0
2020-06-01,Miscellaneous manufacturing,,967000000.0
2020-07-01,"Total, durable and non-durable goods",,52911000000.0
2020-07-01,Non-durable goods,,25610000000.0
2020-07-01,Food manufacturing,,8913000000.0
2020-07-01,Beverage and tobacco product manufacturing,,1251000000.0
2020-07-01,Textile mills,,146000000.0
2020-07-01,Textile product mills,,123000000.0
2020-07-01,Apparel manufacturing,,190000000.0
2020-07-01,Leather and allied product manufacturing,,19000000.0
2020-07-01,Paper manufacturing,,2235000000.0
2020-07-01,Printing and related support activities,,574000000.0
2020-07-01,Petroleum and coal products manufacturing,,4565000000.0
2020-07-01,Chemical manufacturing,,4751000000.0
2020-07-01,Plastics and rubber products manufacturing,,2842000000.0
2020-07-01,Durable goods,,27300000000.0
2020-07-01,Wood product manufacturing,,2604000000.0
2020-07-01,Non-metallic mineral product manufacturing,,1235000000.0
2020-07-01,Primary metal manufacturing,,3502000000.0
2020-07-01,Fabricated metal product manufacturing,,2867000000.0
2020-07-01,Machinery manufacturing,,2741000000.0
2020-07-01,Computer and electronic product manufacturing,,1148000000.0
2020-07-01,"Electrical equipment, appliance and component manufacturing",,848000000.0
2020-07-01,Transportation equipment manufacturing,,10458000000.0
2020-07-01,Motor vehicle manufacturing,,5019000000.0
2020-07-01,Motor vehicle body and trailer manufacturing,,242000000.0
2020-07-01,Motor vehicle parts manufacturing,,3045000000.0
2020-07-01,Aerospace product and parts manufacturing,,1449000000.0
2020-07-01,Railroad rolling stock manufacturing,,182000000.0
2020-07-01,Ship and boat building,,221000000.0
2020-07-01,Other transportation equipment manufacturing,,300000000.0
2020-07-01,Furniture and related product manufacturing,,896000000.0
2020-07-01,Miscellaneous manufacturing,,1001000000.0
2020-08-01,"Total, durable and non-durable goods",,52399000000.0
2020-08-01,Non-durable goods,,25433000000.0
2020-08-01,Food manufacturing,,8932000000.0
2020-08-01,Beverage and tobacco product manufacturing,,1235000000.0
2020-08-01,Textile mills,,146000000.0
2020-08-01,Textile product mills,,133000000.0
2020-08-01,Apparel manufacturing,,206000000.0
2020-08-01,Leather and allied product manufacturing,,21000000.0
2020-08-01,Paper manufacturing,,2289000000.0
2020-08-01,Printing and related support activities,,628000000.0
2020-08-01,Petroleum and coal products manufacturing,,4499000000.0
2020-08-01,Chemical manufacturing,,4681000000.0
2020-08-01,Plastics and rubber products manufacturing,,2664000000.0
2020-08-01,Durable goods,,26965000000.0
2020-08-01,Wood product manufacturing,,2705000000.0
2020-08-01,Non-metallic mineral product manufacturing,,1299000000.0
2020-08-01,Primary metal manufacturing,,3506000000.0
2020-08-01,Fabricated metal product manufacturing,,2930000000.0
2020-08-01,Machinery manufacturing,,2787000000.0
2020-08-01,Computer and electronic product manufacturing,,1201000000.0
2020-08-01,"Electrical equipment, appliance and component manufacturing",,836000000.0
2020-08-01,Transportation equipment manufacturing,,9653000000.0
2020-08-01,Motor vehicle manufacturing,,4747000000.0
2020-08-01,Motor vehicle body and trailer manufacturing,,249000000.0
2020-08-01,Motor vehicle parts manufacturing,,2721000000.0
2020-08-01,Aerospace product and parts manufacturing,,1189000000.0
2020-08-01,Railroad rolling stock manufacturing,,163000000.0
2020-08-01,Ship and boat building,,254000000.0
2020-08-01,Other transportation equipment manufacturing,,330000000.0
2020-08-01,Furniture and related product manufacturing,,908000000.0
2020-08-01,Miscellaneous manufacturing,,1142000000.0
2020-09-01,"Total, durable and non-durable goods",,53386000000.0
2020-09-01,Non-durable goods,,26130000000.0
2020-09-01,Food manufacturing,,8894000000.0
2020-09-01,Beverage and tobacco product manufacturing,,1261000000.0
2020-09-01,Textile mills,,143000000.0
2020-09-01,Textile product mills,,126000000.0
2020-09-01,Apparel manufacturing,,224000000.0
2020-09-01,Leather and allied product manufacturing,,20000000.0
2020-09-01,Paper manufacturing,,2301000000.0
2020-09-01,Printing and related support activities,,618000000.0
2020-09-01,Petroleum and coal products manufacturing,,4879000000.0
2020-09-01,Chemical manufacturing,,4882000000.0
2020-09-01,Plastics and rubber products manufacturing,,2781000000.0
2020-09-01,Durable goods,,27256000000.0
2020-09-01,Wood product manufacturing,,2798000000.0
2020-09-01,Non-metallic mineral product manufacturing,,1300000000.0
2020-09-01,Primary metal manufacturing,,3506000000.0
2020-09-01,Fabricated metal product manufacturing,,3008000000.0
2020-09-01,Machinery manufacturing,,2834000000.0
2020-09-01,Computer and electronic product manufacturing,,1266000000.0
2020-09-01,"Electrical equipment, appliance and component manufacturing",,823000000.0
2020-09-01,Transportation equipment manufacturing,,9721000000.0
2020-09-01,Motor vehicle manufacturing,,4578000000.0
2020-09-01,Motor vehicle body and trailer manufacturing,,261000000.0
2020-09-01,Motor vehicle parts manufacturing,,2806000000.0
2020-09-01,Aerospace product and parts manufacturing,,1405000000.0
2020-09-01,Railroad rolling stock manufacturing,,184000000.0
2020-09-01,Ship and boat building,,230000000.0
2020-09-01,Other transportation equipment manufacturing,,257000000.0
2020-09-01,Furniture and related product manufacturing,,909000000.0
2020-09-01,Miscellaneous manufacturing,,1091000000.0
2020-10-01,"Total, durable and non-durable goods",,53533000000.0
2020-10-01,Non-durable goods,,26329000000.0
2020-10-01,Food manufacturing,,8851000000.0
2020-10-01,Beverage and tobacco product manufacturing,,1267000000.0
2020-10-01,Textile mills,,136000000.0
2020-10-01,Textile product mills,,124000000.0
2020-10-01,Apparel manufacturing,,234000000.0
2020-10-01,Leather and allied product manufacturing,,21000000.0
2020-10-01,Paper manufacturing,,2393000000.0
2020-10-01,Printing and related support activities,,597000000.0
2020-10-01,Petroleum and coal products manufacturing,,5068000000.0
2020-10-01,Chemical manufacturing,,4863000000.0
2020-10-01,Plastics and rubber products manufacturing,,2777000000.0
2020-10-01,Durable goods,,27204000000.0
2020-10-01,Wood product manufacturing,,2870000000.0
2020-10-01,Non-metallic mineral product manufacturing,,1243000000.0
2020-10-01,Primary metal manufacturing,,3537000000.0
2020-10-01,Fabricated metal product manufacturing,,2774000000.0
2020-10-01,Machinery manufacturing,,2965000000.0
2020-10-01,Computer and electronic product manufacturing,,1201000000.0
2020-10-01,"Electrical equipment, appliance and component manufacturing",,815000000.0
2020-10-01,Transportation equipment manufacturing,,9743000000.0
2020-10-01,Motor vehicle manufacturing,,4637000000.0
2020-10-01,Motor vehicle body and trailer manufacturing,,257000000.0
2020-10-01,Motor vehicle parts manufacturing,,2744000000.0
2020-10-01,Aerospace product and parts manufacturing,,1363000000.0
2020-10-01,Railroad rolling stock manufacturing,,197000000.0
2020-10-01,Ship and boat building,,268000000.0
2020-10-01,Other transportation equipment manufacturing,,276000000.0
2020-10-01,Furniture and related product manufacturing,,905000000.0
2020-10-01,Miscellaneous manufacturing,,1152000000.0
2020-11-01,"Total, durable and non-durable goods",,53097000000.0
2020-11-01,Non-durable goods,,26485000000.0
2020-11-01,Food manufacturing,,8850000000.0
2020-11-01,Beverage and tobacco product manufacturing,,1274000000.0
2020-11-01,Textile mills,,150000000.0
2020-11-01,Textile product mills,,130000000.0
2020-11-01,Apparel manufacturing,,223000000.0
2020-11-01,Leather and allied product manufacturing,,19000000.0
2020-11-01,Paper manufacturing,,2302000000.0
2020-11-01,Printing and related support activities,,610000000.0
2020-11-01,Petroleum and coal products manufacturing,,5183000000.0
2020-11-01,Chemical manufacturing,,4949000000.0
2020-11-01,Plastics and rubber products manufacturing,,2795000000.0
2020-11-01,Durable goods,,26611000000.0
2020-11-01,Wood product manufacturing,,3053000000.0
2020-11-01,Non-metallic mineral product manufacturing,,1277000000.0
2020-11-01,Primary metal manufacturing,,3473000000.0
2020-11-01,Fabricated metal product manufacturing,,2987000000.0
2020-11-01,Machinery manufacturing,,3023000000.0
2020-11-01,Computer and electronic product manufacturing,,1200000000.0
2020-11-01,"Electrical equipment, appliance and component manufacturing",,810000000.0
2020-11-01,Transportation equipment manufacturing,,8736000000.0
2020-11-01,Motor vehicle manufacturing,,4246000000.0
2020-11-01,Motor vehicle body and trailer manufacturing,,263000000.0
2020-11-01,Motor vehicle parts manufacturing,,2528000000.0
2020-11-01,Aerospace product and parts manufacturing,,1122000000.0
2020-11-01,Railroad rolling stock manufacturing,,160000000.0
2020-11-01,Ship and boat building,,199000000.0
2020-11-01,Other transportation equipment manufacturing,,219000000.0
2020-11-01,Furniture and related product manufacturing,,917000000.0
2020-11-01,Miscellaneous manufacturing,,1135000000.0
2020-12-01,"Total, durable and non-durable goods",,53315000000.0
2020-12-01,Non-durable goods,,26566000000.0
2020-12-01,Food manufacturing,,9027000000.0
2020-12-01,Beverage and tobacco product manufacturing,,1279000000.0
2020-12-01,Textile mills,,132000000.0
2020-12-01,Textile product mills,,127000000.0
2020-12-01,Apparel manufacturing,,258000000.0
2020-12-01,Leather and allied product manufacturing,,18000000.0
2020-12-01,Paper manufacturing,,2464000000.0
2020-12-01,Printing and related support activities,,620000000.0
2020-12-01,Petroleum and coal products manufacturing,,5108000000.0
2020-12-01,Chemical manufacturing,,4712000000.0
2020-12-01,Plastics and rubber products manufacturing,,2821000000.0
2020-12-01,Durable goods,,26749000000.0
2020-12-01,Wood product manufacturing,,3060000000.0
2020-12-01,Non-metallic mineral product manufacturing,,1332000000.0
2020-12-01,Primary metal manufacturing,,3484000000.0
2020-12-01,Fabricated metal product manufacturing,,2999000000.0
2020-12-01,Machinery manufacturing,,2965000000.0
2020-12-01,Computer and electronic product manufacturing,,1266000000.0
2020-12-01,"Electrical equipment, appliance and component manufacturing",,786000000.0
2020-12-01,Transportation equipment manufacturing,,8811000000.0
2020-12-01,Motor vehicle manufacturing,,4100000000.0
2020-12-01,Motor vehicle body and trailer manufacturing,,285000000.0
2020-12-01,Motor vehicle parts manufacturing,,2577000000.0
2020-12-01,Aerospace product and parts manufacturing,,1187000000.0
2020-12-01,Railroad rolling stock manufacturing,,202000000.0
2020-12-01,Ship and boat building,,220000000.0
2020-12-01,Other transportation equipment manufacturing,,241000000.0
2020-12-01,Furniture and related product manufacturing,,926000000.0
2020-12-01,Miscellaneous manufacturing,,1121000000.0
2021-01-01,"Total, durable and non-durable goods",,54042000000.0
2021-01-01,Non-durable goods,,26470000000.0
2021-01-01,Food manufacturing,,8945000000.0
2021-01-01,Beverage and tobacco product manufacturing,,1256000000.0
2021-01-01,Textile mills,,139000000.0
2021-01-01,Textile product mills,,119000000.0
2021-01-01,Apparel manufacturing,,223000000.0
2021-01-01,Leather and allied product manufacturing,,21000000.0
2021-01-01,Paper manufacturing,,2335000000.0
2021-01-01,Printing and related support activities,,518000000.0
2021-01-01,Petroleum and coal products manufacturing,,5075000000.0
2021-01-01,Chemical manufacturing,,4988000000.0
2021-01-01,Plastics and rubber products manufacturing,,2852000000.0
2021-01-01,Durable goods,,27573000000.0
2021-01-01,Wood product manufacturing,,3083000000.0
2021-01-01,Non-metallic mineral product manufacturing,,1569000000.0
2021-01-01,Primary metal manufacturing,,3862000000.0
2021-01-01,Fabricated metal product manufacturing,,3047000000.0
2021-01-01,Machinery manufacturing,,3051000000.0
2021-01-01,Computer and electronic product manufacturing,,1485000000.0
2021-01-01,"Electrical equipment, appliance and component manufacturing",,800000000.0
2021-01-01,Transportation equipment manufacturing,,8526000000.0
2021-01-01,Motor vehicle manufacturing,,3669000000.0
2021-01-01,Motor vehicle body and trailer manufacturing,,296000000.0
2021-01-01,Motor vehicle parts manufacturing,,2510000000.0
2021-01-01,Aerospace product and parts manufacturing,,1401000000.0
2021-01-01,Railroad rolling stock manufacturing,,179000000.0
2021-01-01,Ship and boat building,,260000000.0
2021-01-01,Other transportation equipment manufacturing,,212000000.0
2021-01-01,Furniture and related product manufacturing,,944000000.0
2021-01-01,Miscellaneous manufacturing,,1205000000.0
2021-02-01,"Total, durable and non-durable goods",,52297000000.0
2021-02-01,Non-durable goods,,26381000000.0
2021-02-01,Food manufacturing,,8856000000.0
2021-02-01,Beverage and tobacco product manufacturing,,1308000000.0
2021-02-01,Textile mills,,139000000.0
2021-02-01,Textile product mills,,130000000.0
2021-02-01,Apparel manufacturing,,201000000.0
2021-02-01,Leather and allied product manufacturing,,19000000.0
2021-02-01,Paper manufacturing,,2299000000.0
2021-02-01,Printing and related support activities,,586000000.0
2021-02-01,Petroleum and coal products manufacturing,,5123000000.0
