REFERENCE_PERIOD,NAICS,STATUS,SYMBOL,TERMINATED,DECIMALS,CALCULATED_VALUE
2002-10-01,Chemical manufacturing,,,,0,5117000000.0
2002-10-01,Plastics and rubber products manufacturing,,,,0,2663000000.0
2002-10-01,Durable goods,,,,0,29820000000.0
2002-10-01,Wood product manufacturing,,,,0,3094000000.0
2002-10-01,Non-metallic mineral product manufacturing,,,,0,1234000000.0
2002-10-01,Primary metal manufacturing,,,,0,4855000000.0
2002-10-01,Fabricated metal product manufacturing,,,,0,3501000000.0
2002-10-01,Machinery manufacturing,,,,0,2609000000.0
2002-10-01,Computer and electronic product manufacturing,,,,0,1677000000.0
2002-10-01,"Electrical equipment, appliance and component manufacturing",,,,0,1042000000.0
2002-10-01,Transportation equipment manufacturing,,,,0,9431000000.0
2002-10-01,Motor vehicle manufacturing,,,,0,4838000000.0
2002-10-01,Motor vehicle body and trailer manufacturing,,,,0,335000000.0
2002-10-01,Motor vehicle parts manufacturing,,,,0,2545000000.0
2002-10-01,Aerospace product and parts manufacturing,,,,0,1014000000.0
2002-10-01,Railroad rolling stock manufacturing,,,,0,384000000.0
2002-10-01,Ship and boat building,,,,0,185000000.0
2002-10-01,Other transportation equipment manufacturing,,,,0,130000000.0
2002-10-01,Furniture and related product manufacturing,,,,0,1342000000.0
2002-10-01,Miscellaneous manufacturing,,,,0,1035000000.0
2002-11-01,"Total, durable and non-durable goods",,,,0,57132000000.0
2002-11-01,Non-durable goods,,,,0,27307000000.0
2002-11-01,Food manufacturing,,,,0,6764000000.0
2002-11-01,Beverage and tobacco product manufacturing,,,,0,1506000000.0
2002-11-01,Textile mills,,,,0,350000000.0
2002-11-01,Textile product mills,,,,0,291000000.0
2002-11-01,Apparel manufacturing,,,,0,703000000.0
2002-11-01,Leather and allied product manufacturing,,,,0,85000000.0
2002-11-01,Paper manufacturing,,,,0,3222000000.0
2002-11-01,Printing and related support activities,,,,0,1080000000.0
2002-11-01,Petroleum and coal products manufacturing,,,,0,5505000000.0
2002-11-01,Chemical manufacturing,,,,0,5116000000.0
2002-11-01,Plastics and rubber products manufacturing,,,,0,2685000000.0
2002-11-01,Durable goods,,,,0,29824000000.0
2002-11-01,Wood product manufacturing,,,,0,3082000000.0
2002-11-01,Non-metallic mineral product manufacturing,,,,0,1253000000.0
2002-11-01,Primary metal manufacturing,,,,0,4562000000.0
2002-11-01,Fabricated metal product manufacturing,,,,0,3455000000.0
2002-11-01,Machinery manufacturing,,,,0,2632000000.0
2002-11-01,Computer and electronic product manufacturing,,,,0,1651000000.0
2002-11-01,"Electrical equipment, appliance and component manufacturing",,,,0,1045000000.0
2002-11-01,Transportation equipment manufacturing,,,,0,9783000000.0
2002-11-01,Motor vehicle manufacturing,,,,0,4930000000.0
2002-11-01,Motor vehicle body and trailer manufacturing,,,,0,332000000.0
2002-11-01,Motor vehicle parts manufacturing,,,,0,2612000000.0
2002-11-01,Aerospace product and parts manufacturing,,,,0,1231000000.0
2002-11-01,Railroad rolling stock manufacturing,,,,0,385000000.0
2002-11-01,Ship and boat building,,,,0,158000000.0
2002-11-01,Other transportation equipment manufacturing,,,,0,135000000.0
2002-11-01,Furniture and related product manufacturing,,,,0,1315000000.0
2002-11-01,Miscellaneous manufacturing,,,,0,1046000000.0
2002-12-01,"Total, durable and non-durable goods",,,,0,56871000000.0
2002-12-01,Non-durable goods,,,,0,27728000000.0
2002-12-01,Food manufacturing,,,,0,6822000000.0
2002-12-01,Beverage and tobacco product manufacturing,,,,0,1537000000.0
2002-12-01,Textile mills,,,,0,367000000.0
